timestamp,group_id,domain,resource_type,resource_name,allocated_capacity,utilized_capacity,utilization_rate,efficiency_score,sla_compliance,cost_per_unit,total_cost_eur,conflicts_encountered,sharing_events_given,sharing_events_received,quality_score,deadline_adherence
2025-01-22T10:00:00Z,AAA_ARCHITECTURES,AAA,human_resources,aerospace_engineers,12,11,0.92,0.91,0.96,100,1100,0,1,0,0.93,0.94
2025-01-22T10:00:00Z,AAA_ARCHITECTURES,AAA,human_resources,quantum_specialists,3,3,1.00,0.95,0.98,150,450,0,0,0,0.97,0.96
2025-01-22T10:00:00Z,AAA_ARCHITECTURES,AAA,human_resources,systems_engineers,8,7,0.88,0.87,0.94,85,595,0,0,0,0.90,0.92
2025-01-22T10:00:00Z,AAA_ARCHITECTURES,AAA,computational_resources,hpc_clusters,2000,1850,0.93,0.90,0.95,2.5,4625,0,150,0,0.92,0.95
2025-01-22T10:00:00Z,AAA_ARCHITECTURES,AAA,computational_resources,cad_workstations,400,380,0.95,0.93,0.97,8,3040,0,0,0,0.94,0.96
2025-01-22T10:00:00Z,AAA_ARCHITECTURES,AAA,laboratory_resources,wind_tunnel,6,5,0.83,0.85,0.92,500,2500,0,0,0,0.88,0.90
2025-01-22T10:00:00Z,CQH_HYDROGEN,CQH,human_resources,aerospace_engineers,8,8,1.00,0.96,0.98,100,800,0,0,0,0.97,0.97
2025-01-22T10:00:00Z,CQH_HYDROGEN,CQH,human_resources,quantum_specialists,5,5,1.00,0.98,0.99,150,750,0,0,0,0.98,0.98
2025-01-22T10:00:00Z,CQH_HYDROGEN,CQH,human_resources,systems_engineers,6,6,1.00,0.95,0.97,85,510,0,0,0,0.96,0.97
2025-01-22T10:00:00Z,CQH_HYDROGEN,CQH,human_resources,safety_specialists,4,4,1.00,0.94,0.98,120,480,0,0,0,0.97,0.98
2025-01-22T10:00:00Z,CQH_HYDROGEN,CQH,computational_resources,quantum_simulators,400,380,0.95,0.93,0.96,25,9500,1,0,0,0.95,0.96
2025-01-22T10:00:00Z,CQH_HYDROGEN,CQH,computational_resources,hpc_clusters,1500,1450,0.97,0.95,0.98,2.5,3625,0,0,150,0.96,0.97
2025-01-22T10:00:00Z,CQH_HYDROGEN,CQH,laboratory_resources,materials_lab,4,3,0.75,0.78,0.88,200,600,1,1,0,0.85,0.82
2025-01-22T10:00:00Z,CQH_HYDROGEN,CQH,laboratory_resources,quantum_lab,2,2,1.00,0.97,0.99,1000,2000,0,0,0,0.98,0.99
2025-01-22T10:00:00Z,PPP_PROPULSION,PPP,human_resources,aerospace_engineers,10,9,0.90,0.88,0.94,100,900,0,0,1,0.91,0.93
2025-01-22T10:00:00Z,PPP_PROPULSION,PPP,human_resources,manufacturing_engineers,8,8,1.00,0.92,0.96,95,760,0,0,0,0.94,0.95
2025-01-22T10:00:00Z,PPP_PROPULSION,PPP,human_resources,test_engineers,6,6,1.00,0.89,0.93,90,540,0,0,0,0.92,0.94
2025-01-22T10:00:00Z,PPP_PROPULSION,PPP,computational_resources,hpc_clusters,1800,1750,0.97,0.94,0.97,2.5,4375,0,0,0,0.95,0.96
2025-01-22T10:00:00Z,PPP_PROPULSION,PPP,computational_resources,analysis_servers,200,180,0.90,0.87,0.91,5,900,0,0,0,0.89,0.92
2025-01-22T10:00:00Z,PPP_PROPULSION,PPP,laboratory_resources,structures_test,3,3,1.00,0.93,0.96,400,1200,0,0,0,0.95,0.96
2025-01-22T10:00:00Z,MMM_MATERIALS,MMM,human_resources,materials_engineers,6,5,0.83,0.81,0.87,110,550,0,0,0,0.84,0.85
2025-01-22T10:00:00Z,MMM_MATERIALS,MMM,human_resources,test_engineers,4,4,1.00,0.88,0.92,90,360,0,0,0,0.90,0.93
2025-01-22T10:00:00Z,MMM_MATERIALS,MMM,computational_resources,hpc_clusters,800,720,0.90,0.85,0.89,2.5,1800,0,0,0,0.87,0.88
2025-01-22T10:00:00Z,MMM_MATERIALS,MMM,laboratory_resources,materials_lab,2,2,1.00,0.92,0.95,200,400,1,0,1,0.93,0.94
2025-01-22T10:00:00Z,OOO_OPERATING_SYSTEMS,OOO,human_resources,software_engineers,12,11,0.92,0.89,0.93,75,825,0,0,0,0.91,0.92
2025-01-22T10:00:00Z,OOO_OPERATING_SYSTEMS,OOO,human_resources,quantum_specialists,2,2,1.00,0.94,0.97,150,300,0,0,0,0.95,0.96
2025-01-22T10:00:00Z,OOO_OPERATING_SYSTEMS,OOO,computational_resources,quantum_simulators,200,150,0.75,0.72,0.78,25,3750,1,0,0,0.76,0.80
2025-01-22T10:00:00Z,OOO_OPERATING_SYSTEMS,OOO,computational_resources,hpc_clusters,1200,1100,0.92,0.88,0.91,2.5,2750,0,0,0,0.89,0.90
2025-01-22T10:00:00Z,LCC_COMMUNICATIONS,LCC,human_resources,electronics_engineers,8,7,0.88,0.85,0.90,95,665,0,0,0,0.87,0.89
2025-01-22T10:00:00Z,LCC_COMMUNICATIONS,LCC,human_resources,software_engineers,6,6,1.00,0.91,0.94,75,450,0,0,0,0.93,0.94
2025-01-22T10:00:00Z,LCC_COMMUNICATIONS,LCC,computational_resources,hpc_clusters,600,540,0.90,0.86,0.88,2.5,1350,0,0,0,0.88,0.89
2025-01-22T10:00:00Z,LCC_COMMUNICATIONS,LCC,laboratory_resources,electronics_lab,3,3,1.00,0.90,0.93,300,900,0,0,0,0.92,0.93
2025-01-22T10:00:00Z,EDI_DIGITAL_INSTRUMENTS,EDI,human_resources,electronics_engineers,5,4,0.80,0.78,0.83,95,380,0,0,0,0.81,0.82
2025-01-22T10:00:00Z,EDI_DIGITAL_INSTRUMENTS,EDI,human_resources,software_engineers,4,4,1.00,0.88,0.92,75,300,0,0,0,0.90,0.91
2025-01-22T10:00:00Z,EDI_DIGITAL_INSTRUMENTS,EDI,computational_resources,hpc_clusters,400,350,0.88,0.84,0.87,2.5,875,0,0,0,0.86,0.87
2025-01-22T10:00:00Z,EDI_DIGITAL_INSTRUMENTS,EDI,laboratory_resources,electronics_lab,2,1,0.50,0.48,0.55,300,150,0,0,0,0.52,0.58